Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD]
760;-1.558751;0.197499;0.362646;-0.177916;-0.508058;0.206231;-0.282095;0.546406
770;-1.078240;-0.770354;-0.103122;-0.278670;-0.653667;0.680451;0.409680;-0.523034
780;-0.281897;-0.151065;-0.497637;-0.235420;0.691885;-1.367305;0.428224;-0.505850
790;0.771652;0.834877;-1.096372;0.052229;0.263123;0.130045;-0.575440;-1.290869
800;-0.025085;1.354742;-0.570902;0.918187;-0.860039;-0.275632;0.335630;-1.139272
810;-0.353419;0.182037;-0.641904;-0.196517;0.415777;-0.303860;0.094124;-0.400219
820;0.315214;-0.055032;0.363538;-0.546389;0.039581;0.292703;-0.447042;0.144759
830;0.236499;0.347063;-1.063811;-0.203881;-0.343327;-0.724436;0.030994;-0.877336
840;0.060417;0.062814;-1.061575;-0.607630;-0.063655;-0.371456;-0.461044;-0.401351
850;0.655001;0.256544;-0.108120;0.054475;0.701503;-0.313222;-0.314347;-0.036803
860;0.251469;0.266804;0.070015;-0.008101;-0.340036;0.663406;0.242998;0.393344
870;-0.163955;-0.355263;0.541488;0.612207;0.349731;-0.640478;-0.436892;-0.679597
880;1.035119;-0.075093;0.324180;0.347750;-0.351830;-0.816624;0.507861;-0.188009
890;0.447068;0.162415;0.186530;-0.327492;0.110832;0.225217;0.364941;0.850534
900;-0.344431;0.067030;0.226692;0.047288;-0.249812;0.003644;0.586990;1.491488
910;0.219432;0.164941;0.130972;-0.064549;0.083458;0.278507;0.866029;-0.165702
920;0.104408;-1.465708;-0.401273;-0.305421;0.457583;0.443038;-0.043124;-1.083924
930;-0.120167;-0.394179;-0.236058;1.003836;-0.848558;0.175603;1.061012;0.189707
940;0.572538;-0.475797;-0.737108;-0.963951;0.203151;0.361863;-0.423004;-0.654070
950;0.455387;-0.354068;-0.677242;1.686013;0.313880;-0.870994;-0.045200;-0.666341
960;0.941745;0.559607;0.238777;0.666936;0.368452;-0.185478;0.115204;0.217302
970;0.634541;-0.843432;-0.310277;0.466490;-0.079080;0.212792;-0.415476;-0.636299
980;-0.099288;-0.300938;-0.198441;-0.888224;-0.673493;-0.374369;0.201710;-0.503754
990;-0.307476;-0.635569;0.013627;0.899577;-0.519948;-0.888679;-0.038319;0.351219
1000;-0.542847;-0.174271;0.807914;-0.109647;-0.473822;0.276123;0.127796;-0.895524
1010;-0.503192;0.121328;-0.137441;-0.471904;-0.473502;-0.233267;-0.534318;0.242524
1020;-0.347177;0.153666;-0.141145;-0.618753;0.077954;0.288997;-0.107291;-0.064543
1030;-0.073132;0.063912;-0.376355;-1.163886;0.286899;-0.563770;-0.432013;-0.020625
1040;-0.896815;0.349222;-0.152002;0.738471;1.122261;-0.485413;0.668986;0.774060
1050;0.740256;0.642669;0.196908;-0.191395;-0.091140;0.201164;0.598249;-0.401826
1060;-0.295902;-1.861552;1.469257;-0.678290;0.180199;0.069618;-0.627282;0.198367
1070;-0.652479;-0.179689;0.156523;0.377096;0.304699;0.400198;-1.103448;-0.233545
1080;0.095676;0.274986;-0.065151;-0.025882;0.875281;0.460439;1.198523;0.798644
1090;-0.863038;0.308928;-0.804498;0.757615;0.150378;-0.454487;-0.525192;1.059469
1100;-0.891307;-1.431702;-0.894031;-0.400843;-0.574252;0.252874;0.609978;0.044543
1110;0.763306;-1.292031;0.161042;1.075853;0.235519;-0.041786;-0.099793;-0.555790
1120;-0.281464;-0.193541;-0.591728;0.577266;0.275898;-0.169147;-0.166708;0.101447
