Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
1840;6.363301;6.584644;6.292907;6.810704;6.189409;7.442318;6.035354;9.138456;7.306903;6.087566
1850;6.909001;4.605949;6.464549;8.261583;7.396863;6.838615;5.986957;6.678630;6.994908;8.131041
1860;7.465405;7.856998;8.266549;6.848267;7.876772;6.470050;5.648237;6.382435;5.896621;7.214604
1870;6.588480;7.119137;6.739177;7.146718;7.321655;5.922792;6.044348;7.190395;7.494934;6.168181
1880;5.978623;5.930503;6.276941;7.038499;5.580750;7.148992;5.938531;7.313140;7.500650;6.609569
1890;7.654463;7.440437;7.498511;5.936993;6.041257;5.698657;6.504238;6.258204;6.387128;5.952430
1900;6.331212;6.765629;6.009209;6.404803;6.232737;5.509000;5.667402;6.360720;6.031140;6.672540
1910;5.929694;7.282339;6.509279;6.820155;6.849854;6.436873;6.909821;7.241349;7.535152;7.552468
1920;5.249594;6.292565;6.978708;7.085642;5.090908;5.336724;6.632563;6.051111;7.465879;6.237470
1930;6.046211;7.063493;4.509768;5.544578;7.113874;6.976430;5.895170;6.600634;7.612576;7.374941
1940;6.762818;6.233738;6.136990;6.787849;3.646772;5.436920;5.966046;6.693677;6.408587;7.540570
1950;7.479519;5.653544;5.956565;6.805594;6.698002;6.764175;6.397592;7.247729;6.494650;5.804337
1960;6.022243;6.799719;5.295137;6.284438;4.685571;6.174423;5.531102;5.877216;6.749449;7.077092
1970;6.340215;6.186100;7.069799;5.489162;4.848741;7.301598;6.601440;5.872809;6.617428;6.629184
1980;7.277859;6.803139;7.081486;4.999187;6.185269;5.654520;5.872259;6.549986;4.873645;5.834784
1990;4.720109;6.341396;6.184414;6.262981;7.017374;5.167420;6.820398;6.002606;5.334354;5.990968
2000;6.865341;5.418406;6.663005;7.103758;6.425675;5.971650;6.961152;5.580358;5.711561;6.304085
2010;5.976593;5.447176;5.823001;6.544573;5.858272;4.869795;5.961364;5.793638;6.296404;4.652349
2020;4.195504;5.949939;5.370762;6.554790;6.722212;6.234763;5.062705;5.837950;5.196321;5.650103
2030;5.811788;5.711351;4.678434;6.921872;5.433285;6.202870;5.951371;5.347600;5.762380;5.722794
2040;6.799756;5.361029;7.904450;5.567594;5.646154;7.439397;6.769957;5.641454;5.445644;6.188491
2050;4.599462;6.212927;6.131276;6.015915;5.583863;4.941362;5.889470;5.484256;4.785117;4.782719
2060;5.546069;5.962890;5.251359;5.421931;5.463351;5.761231;4.917710;5.347030;6.595386;4.933775
2070;6.591469;5.482368;5.506798;4.322835;5.363464;5.079536;4.966705;6.121937;5.621232;6.449683
2080;4.006280;3.854054;5.497772;5.521729;6.315690;6.058908;6.662454;5.276879;5.707046;4.786250
2090;4.393894;6.013650;6.247945;6.220685;5.080842;5.166555;5.322443;4.332166;5.364453;5.289023
2100;5.111756;3.819668;5.117304;4.452299;3.836641;4.710152;5.384442;5.894126;6.481595;4.580975
2110;5.230300;5.990209;5.162673;5.034528;4.731478;4.362565;4.823463;5.926784;5.064817;6.196426
2120;6.099345;6.346807;5.513777;3.408578;5.547462;4.402575;5.015960;6.200915;5.673427;7.063125
2130;4.416592;5.456683;3.398646;4.949494;5.047905;5.413136;4.864864;4.799183;3.725242;6.029939
