Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD];TA11 [mOD];TA12 [mOD];TA13 [mOD];TA14 [mOD];TA15 [mOD];TA16 [mOD];TA17 [mOD];TA18 [mOD];TA19 [mOD];TA20 [mOD]
200;-1.435458;-1.271087;-1.460758;-1.484502;-1.420068;-1.426232;-1.242317;-1.449487;-1.391441;-1.438257;-1.538198;-1.572670;-1.312114;-1.709912;-1.576176;-1.710198;-1.385479;-1.439997;-1.507779;-1.491889
210;-1.272508;-1.446548;-1.490685;-1.439961;-1.421078;-1.522095;-1.605603;-1.378605;-1.318454;-1.642644;-1.519236;-1.389723;-1.398910;-1.230758;-1.254326;-1.362159;-1.497760;-1.278449;-1.390714;-1.286953
220;-1.262840;-1.356853;-1.601619;-1.288828;-1.440233;-1.298879;-1.175636;-1.224433;-1.274626;-1.119421;-1.332792;-1.319737;-1.326320;-1.174577;-1.220529;-1.373650;-1.121552;-1.328623;-1.302114;-1.469330
230;-1.258323;-0.964476;-1.116038;-1.017171;-1.213090;-1.178399;-1.317678;-1.292578;-1.020658;-1.161543;-1.155446;-1.167841;-1.351222;-1.085919;-1.317844;-1.093882;-1.350318;-1.200658;-1.205566;-1.420553
240;-1.018877;-0.958917;-1.197524;-1.103822;-1.159270;-0.996933;-0.919869;-1.122761;-1.180831;-1.328430;-1.056322;-0.924213;-1.056258;-1.231276;-1.074188;-1.232394;-1.141780;-1.285880;-1.082029;-1.047986
250;-1.042804;-1.225065;-0.947603;-1.092949;-0.973741;-1.215654;-1.035654;-0.930507;-0.933035;-1.025632;-0.928540;-1.054813;-1.058486;-1.017053;-1.076893;-1.288394;-1.256421;-1.210629;-1.137373;-1.062570
260;-0.861282;-0.871429;-0.883576;-1.154818;-1.070900;-1.177301;-0.895389;-1.052919;-0.896156;-0.931692;-0.982637;-0.930188;-0.997393;-0.857311;-0.878155;-0.962020;-0.943954;-1.087845;-1.099853;-0.956301
270;-0.857953;-0.770165;-0.838882;-0.704990;-0.942115;-0.526728;-1.068031;-0.978415;-0.966483;-0.953087;-0.731993;-0.954457;-0.952807;-0.752958;-0.878764;-0.996696;-1.061634;-1.052475;-0.973936;-0.857230
280;-0.763122;-0.803567;-0.744276;-0.882727;-0.768002;-0.884584;-0.847251;-1.091031;-1.051377;-0.890025;-0.844305;-0.756872;-0.787275;-0.899650;-0.963094;-0.973355;-0.723403;-0.980358;-0.916176;-0.826866
290;-0.838919;-0.863310;-0.716581;-0.649312;-1.003635;-0.939950;-0.854514;-0.818812;-1.066123;-0.757294;-0.793423;-0.986162;-0.738814;-1.003165;-0.728906;-0.946024;-0.641670;-0.931929;-0.739174;-0.729941
300;-0.710603;-0.780933;-0.519972;-0.815053;-0.616291;-0.788434;-1.127789;-0.852158;-0.787408;-0.577082;-0.574651;-0.847627;-0.661198;-0.730774;-0.856980;-0.693838;-0.801871;-0.759287;-0.653522;-0.794845
310;-0.707486;-0.712261;-0.584542;-0.668003;-0.741755;-0.676605;-0.727938;-0.759644;-0.555948;-0.354929;-0.661548;-0.589879;-0.627860;-0.679049;-0.619980;-0.661421;-0.816863;-0.594351;-0.638372;-0.796982
320;-0.700177;-0.603258;-0.641094;-0.507851;-0.849266;-0.387351;-0.561655;-0.668389;-0.717314;-0.610333;-0.621291;-0.681640;-0.569798;-0.770836;-0.605916;-0.712161;-0.554318;-0.456904;-0.692698;-0.578808
330;-0.312208;-0.726570;-0.457326;-0.359763;-0.908987;-0.500886;-0.526469;-0.363364;-0.635067;-0.519556;-0.438735;-0.792194;-0.716011;-0.578406;-0.508546;-0.487326;-0.598645;-0.676173;-0.646492;-0.406184
340;-0.578023;-0.680216;-0.592178;-0.738145;-0.704796;-0.469903;-0.810316;-0.425618;-0.510787;-0.547993;-0.506100;-0.684660;-0.589365;-0.566687;-0.491888;-0.583339;-0.572886;-0.551119;-0.482416;-0.643226
350;-0.457769;-0.511978;-0.597848;-0.561441;-0.393043;-0.622015;-0.635553;-0.159638;-0.609122;-0.476355;-0.514134;-0.672082;-0.487238;-0.572505;-0.623755;-0.597447;-0.414749;-0.545300;-0.539243;-0.527480
