Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
780;7.884692;7.995449;7.528818;7.757655;6.927218;7.696557;6.854834;7.023420;7.106173;6.608534
790;7.378010;6.695416;6.830027;7.270004;7.139082;6.957788;7.302836;6.687941;6.900310;7.056421
800;7.079643;7.637376;7.286036;6.733195;6.835372;7.081807;6.960707;7.409783;6.844883;7.238781
810;7.403031;7.098584;7.571062;6.626550;6.470473;6.618967;6.980746;7.165769;6.787187;6.874199
820;7.342788;7.220323;7.398487;6.804833;6.492171;6.702551;6.929757;6.894159;6.726669;6.743664
830;7.237560;7.423892;7.309793;7.040291;6.847394;6.782775;6.761785;7.124790;6.718342;7.018559
840;7.306736;7.366664;6.672286;6.909804;6.940513;6.468081;6.501527;6.701913;6.833783;6.979320
850;6.611185;7.335454;6.692583;7.186501;6.023687;6.747882;6.612019;6.562247;6.475081;7.026759
860;6.751870;7.037809;6.734255;5.885616;6.587147;5.872573;6.621186;6.262922;6.395754;6.214262
870;6.459153;6.951720;6.831452;6.864721;6.223210;5.838794;6.370861;6.726342;5.936891;6.366723
880;7.202053;6.961830;6.390938;6.768760;5.728161;6.023027;6.366060;6.256056;6.109466;6.239718
890;6.459386;6.655697;6.213456;6.974450;6.773886;6.099296;6.491506;6.137638;6.008061;6.109058
900;6.330433;6.829147;6.604726;6.357370;6.402017;6.311435;5.906533;5.966966;6.234749;6.199390
910;6.428588;6.354037;6.562561;6.384001;5.812272;5.900331;6.327341;6.852970;5.571855;6.178537
920;6.353221;6.984171;6.273367;6.490831;6.240075;5.765256;5.887975;6.529492;5.797434;6.217719
930;6.652121;6.497927;6.269712;5.798398;6.078511;5.903483;5.794979;6.235339;5.681017;6.032248
940;6.081851;6.208031;6.130805;6.417006;5.864415;5.936832;5.718678;6.141226;5.679076;5.639670
950;5.583633;6.352431;5.864779;6.373857;5.679176;5.657429;5.983368;5.330551;6.135969;5.842366
960;6.259573;5.459694;5.910384;6.036553;5.581440;5.243692;5.787434;5.749958;5.562349;6.089474
970;6.215105;5.994768;6.603593;5.924004;5.549438;5.390739;6.126449;5.759783;5.539414;5.799137
980;5.906064;6.181980;6.252407;5.540590;5.060155;5.816832;5.763664;5.554741;5.184151;6.174798
990;6.240554;5.762179;5.671894;5.847583;5.639327;6.010379;5.713613;5.503243;4.870856;5.374176
1000;5.795502;5.812709;5.440922;6.074059;5.258992;5.377019;5.226205;5.395928;5.487459;5.791464
1010;6.163021;5.192559;5.989264;5.527753;5.581048;5.184700;5.068655;5.754100;5.160421;5.025237
1020;6.365344;5.819902;5.635409;6.221105;5.647331;5.427703;5.542224;5.740140;5.312483;5.816722
1030;5.463740;5.585122;5.671603;5.919539;5.131157;5.427014;5.793214;5.583124;5.175830;5.749732
1040;5.596916;5.654043;5.102197;5.619358;4.926491;5.066120;5.243015;5.803961;4.973819;4.599477
1050;6.060123;5.574830;5.521210;5.100695;6.021071;5.610633;5.095956;5.417212;5.786752;5.260998
1060;5.245589;5.461293;4.861740;5.754035;4.513384;5.293411;4.783103;5.061293;5.121827;4.971345
1070;5.000473;5.238164;5.430211;5.446252;5.350422;4.997442;5.353067;5.630075;5.103437;5.531307
1080;5.599861;5.514247;5.278512;5.224429;4.618893;4.776380;4.981135;5.069966;5.463450;5.195577
1090;4.559740;5.202593;5.217184;5.195835;5.565280;4.497542;4.878006;5.160252;5.342504;4.997920
1100;4.609690;4.315647;5.169409;5.456286;5.019786;5.059233;5.440921;4.737905;4.705582;5.066699
1110;5.267050;4.753067;5.048972;5.363083;5.156462;4.803969;4.910675;4.980187;5.105638;4.612952
1120;5.451296;5.401567;5.312009;4.550007;4.746183;4.663603;5.088196;4.921580;5.107821;4.959434
1130;5.023108;5.616324;4.778374;5.245163;5.080711;5.165905;4.901655;4.751492;4.361784;4.935372
1140;5.508523;4.808647;5.259343;5.563251;4.588325;4.555525;5.000954;4.802450;4.847901;4.870446
1150;4.704178;5.367060;4.887682;4.863003;4.947165;4.852288;4.892477;4.584377;4.508526;4.751826
1160;4.711885;5.170351;4.755945;4.637185;4.987159;5.061721;5.127981;4.451931;4.335054;4.583517
1170;4.416913;5.052737;4.813613;4.798732;4.604461;4.432585;4.495026;5.121131;4.642392;4.208650
1180;4.892147;5.049616;5.342553;4.895729;4.330829;4.649411;4.190172;4.280361;4.339368;4.705023
1190;5.174617;4.599180;4.526868;4.716664;4.400632;4.159122;4.819294;4.432527;4.394885;4.404836
1200;4.558187;4.592947;4.698469;4.484852;4.501587;4.433676;4.441502;4.793479;4.418958;4.480223
1210;4.745322;5.275451;4.313526;4.516926;3.913210;4.259757;4.562814;4.388280;4.775341;4.237981
1220;5.267332;4.144835;4.507635;4.595632;4.558660;4.450755;3.933827;4.415524;4.762726;4.062881
1230;4.832707;4.795328;5.088102;4.271413;4.223674;4.706316;4.485278;3.567668;4.800719;4.197076
1240;4.287825;4.881765;4.988740;4.326540;4.706500;4.470530;4.509436;4.754676;4.168477;4.397256
1250;5.107119;4.575631;4.155834;4.392397;4.027768;4.244264;3.966170;4.667790;4.215752;4.056805
1260;4.474042;4.071237;4.407288;3.634086;3.588000;4.052345;4.145217;4.215207;4.238571;4.000858
1270;4.679487;3.907242;4.348029;4.458696;4.484954;3.955659;3.983434;4.032617;3.617791;3.780430
1280;4.349271;4.057775;4.430476;4.579213;4.036666;3.446226;4.125811;3.918874;4.008062;4.123913
1290;4.015700;4.139739;4.254743;4.159989;3.985225;3.791955;4.402131;3.866877;4.391560;4.506681
1300;4.232993;4.063717;4.269705;4.479591;3.857570;3.971937;3.827543;4.137738;4.280070;3.743039
1310;4.053212;4.291091;4.166220;3.504093;3.784062;3.490042;4.000986;4.226169;3.815205;3.921615
1320;4.461744;4.335282;4.028046;3.771606;3.929081;4.280900;3.815676;4.141248;4.131229;3.724310
1330;4.149466;4.725117;4.282148;3.820451;3.938962;3.876547;4.460374;3.924953;4.178086;3.607069
1340;3.943646;4.452067;4.134037;3.950530;3.606450;4.572441;4.478075;3.387973;3.894627;3.355533
1350;4.169475;4.040112;3.815616;3.947494;3.577743;3.457146;3.349894;3.911462;4.023446;3.713722
1360;4.115856;3.825412;4.072380;4.105957;3.894379;3.025843;3.844625;3.937266;4.035587;3.380886
1370;4.113674;3.931682;4.088038;4.094204;3.693389;3.816174;3.513403;4.271282;3.747934;4.338434
1380;4.703207;4.177926;3.128598;3.865525;4.073824;3.661904;3.699291;3.301837;3.741624;3.364652
1390;3.761464;3.564060;3.671240;3.551491;3.280769;3.356490;3.386107;4.157964;3.889004;3.992531
1400;3.598727;3.746830;3.585211;4.426291;3.612047;3.466479;3.699262;3.695463;3.586676;3.406680
1410;4.006052;3.821019;3.292490;3.467207;4.047540;3.477851;3.560904;3.630678;3.915266;3.215338
1420;4.009462;3.950428;3.675928;3.544673;3.209422;3.593263;3.729241;3.936977;3.267794;3.128454
1430;3.452984;3.376848;3.132856;3.919636;3.289182;3.522946;3.851827;3.442569;3.515151;3.714316
1440;3.775966;2.961870;3.507613;3.446720;3.012662;3.475626;3.780271;3.723198;3.596016;3.416054
1450;3.483400;3.367950;3.456848;3.437178;3.255514;3.753895;3.384712;3.221396;3.596802;3.376802
1460;3.814404;3.731767;3.627841;3.554619;3.625558;3.100592;3.271128;3.413057;3.453731;3.011186
1470;3.524158;3.328400;4.071973;3.670494;3.679809;3.704092;3.446961;3.082644;3.617059;3.052155
1480;3.314725;3.052554;3.615447;3.424581;3.621596;3.096554;3.467375;3.402128;3.414461;3.360994
1490;3.874166;3.051375;3.824294;3.502378;3.634691;3.198869;3.255298;3.741560;2.857027;3.307680
1500;3.110264;3.475220;3.629609;3.122293;2.974314;2.912096;3.048382;3.496179;3.191043;3.224522
1510;3.285751;3.711914;2.979099;3.113572;3.545709;2.987435;2.989773;3.354494;2.962610;3.107949
1520;3.248640;2.955960;3.281404;3.510487;3.447121;2.946713;3.333780;3.213173;3.275190;3.585201
1530;3.233722;3.612371;3.219123;3.611118;2.743017;3.479268;3.037530;3.226658;3.101944;3.282510
1540;3.578004;3.019034;3.321329;2.656441;2.793198;2.653768;2.928509;3.041057;3.222751;2.902290
