Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
830;3.715668;3.781525;3.268100;4.016373;3.675165;3.183248;3.254006;3.774194;3.302417;3.460217
840;2.667603;2.150672;2.929550;4.102600;3.742702;3.767961;2.609408;3.659494;2.997537;2.351902
850;3.163801;3.498908;2.906762;3.750837;3.291565;3.426062;3.784981;3.937416;3.497055;2.999581
860;2.947949;3.313827;2.770152;2.886179;4.153070;3.310478;3.307987;3.828838;3.933684;3.449724
870;4.034685;3.023409;3.807440;2.412951;3.585038;3.063732;3.661663;3.605969;2.607935;2.815471
880;2.913465;4.433584;3.159451;3.149508;3.219972;3.117582;2.957516;2.710036;3.288255;3.483398
890;4.184810;2.963119;2.685294;2.885398;2.554579;2.952857;3.101356;2.635164;2.735853;4.238742
900;3.206613;2.474788;3.033549;3.293340;3.957670;3.291540;2.989009;2.884192;2.947877;2.785926
910;3.325519;3.694626;3.533031;2.700130;3.493342;3.154727;2.566379;2.623097;3.120179;3.203911
920;2.679009;3.404780;3.831773;1.915812;3.690052;4.002072;2.488711;4.160854;2.992950;2.987499
930;3.076870;3.059924;3.569525;2.462000;3.530206;2.747400;3.262740;2.813756;2.219033;2.992903
940;2.226218;3.239023;2.369564;2.655728;2.626767;2.638080;2.168343;3.365801;4.292559;3.283090
950;2.687032;2.697449;2.642205;3.069701;2.874721;3.445530;2.992799;2.862601;2.216740;3.182828
960;3.536353;1.952202;3.839107;2.100320;3.446466;2.115081;3.267741;3.243628;3.099888;3.048377
970;2.736941;3.986995;2.499902;2.613049;2.931263;3.018476;2.626897;3.096296;3.568854;2.780271
980;4.640948;3.535949;2.785290;2.869693;3.419536;2.694669;2.781465;3.507619;3.653104;4.069984
990;3.474177;2.703220;2.930077;2.460212;2.734884;2.388546;2.197158;2.981812;3.286059;2.946847
1000;3.001774;2.859569;1.872933;2.396397;3.241595;2.238688;2.861810;2.621335;2.905926;2.303034
1010;3.135998;3.067398;3.417778;3.158025;3.839712;2.111724;2.914334;1.886375;2.967460;2.128612
1020;2.237528;3.363746;3.358585;2.153185;3.234994;3.693271;3.780880;2.671807;3.000714;1.887761
1030;3.428488;3.635147;3.315459;2.794168;2.510155;2.100499;3.469233;3.485935;2.813914;2.968947
1040;2.715707;3.458238;1.574002;2.312376;3.019800;1.183273;1.541041;2.566718;2.737017;3.015438
1050;1.861329;3.183732;2.130780;2.901264;3.136105;2.094761;2.917738;2.381773;2.285963;2.789854
1060;3.169398;4.162025;3.516377;2.570967;3.257271;3.201913;2.954040;3.559664;2.695632;3.081525
1070;2.841592;2.215849;3.925114;2.572571;2.540186;2.899269;2.478186;2.928151;2.468027;3.015806
1080;1.959435;3.565942;2.056224;2.338395;1.808439;2.183159;2.601653;2.520565;2.765016;2.876299
1090;2.301504;2.453172;2.153448;2.203273;2.211982;2.732382;3.051791;2.251824;2.364587;2.152313
1100;2.585704;2.062612;2.641468;2.354769;3.461108;2.123197;2.971446;2.071304;2.447479;2.096918
1110;1.324549;3.001321;2.710322;3.586333;2.373338;1.822989;0.847098;2.479384;3.123307;2.068288
1120;3.078364;1.720575;2.732350;1.518440;1.246288;1.905816;1.409806;2.863320;2.465432;2.654673
1130;2.029347;2.068826;2.749565;2.815158;2.329285;2.379980;2.854218;1.963854;2.023657;1.394858
1140;2.856265;2.828360;2.061507;2.901244;2.412854;2.399650;3.414457;2.276495;1.795542;1.766947
1150;2.627962;2.218419;3.350159;2.167519;2.674899;2.026890;3.571190;1.155773;2.167405;3.021849
1160;2.390813;2.631662;2.740190;2.182552;2.934159;2.335360;2.988571;1.335755;1.928868;2.004224
1170;2.314969;2.095911;2.346540;2.340461;2.165066;2.077756;1.850306;2.683545;2.017309;2.707216
1180;2.475583;2.425829;2.873778;1.882058;1.911185;2.578335;2.164615;1.864000;3.462650;2.290771
1190;2.426007;2.303609;2.611800;1.580440;1.994880;2.763499;2.922412;1.655868;2.050462;2.401719
1200;2.940509;2.309042;2.475625;2.451495;2.521460;1.587963;2.436871;1.787190;1.373999;2.585061
