Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
1450;0.138576;-0.070114;-0.100296;0.068021;0.188117;0.344198;-0.109684;-0.092257;0.071439;0.136227
1460;-0.041705;-0.080482;0.062665;0.149478;0.117157;0.042195;0.165225;0.039856;-0.026838;-0.023615
1470;0.173953;0.128300;-0.042816;-0.122217;-0.109339;-0.001971;-0.018538;-0.079239;0.029987;0.109062
1480;0.089887;-0.103434;0.184939;0.043495;0.082840;-0.031933;0.162436;-0.010259;-0.034718;0.163431
1490;-0.111615;0.006360;-0.088666;-0.006729;-0.010651;-0.111980;-0.009844;0.293784;0.049676;0.098511
1500;-0.176504;0.080721;-0.205204;-0.056554;0.024451;0.044952;0.068190;0.026806;-0.082820;0.094994
1510;0.112837;0.067605;-0.039436;0.219848;0.025247;0.045761;-0.016951;-0.029190;-0.146638;-0.033491
1520;0.038958;0.090930;-0.126099;-0.025709;0.049315;-0.135299;-0.173211;-0.002761;0.007882;0.022870
1530;0.133731;-0.014291;0.066341;0.037562;-0.013010;-0.203850;-0.024450;0.145139;0.002364;-0.031549
1540;-0.022460;0.237008;0.064829;-0.071971;0.040630;0.016157;-0.025621;-0.012231;-0.063482;0.033914
1550;-0.019275;0.028988;0.148749;0.001187;0.092334;0.046109;-0.028386;-0.005521;0.103566;0.131177
1560;0.095385;0.067118;0.016466;-0.042369;-0.015399;-0.020897;-0.009459;0.021310;-0.011820;-0.061482
1570;-0.050125;-0.003575;-0.050633;-0.171334;0.115620;-0.102601;0.135218;-0.035859;-0.124014;0.011815
1580;0.012825;-0.033766;0.130792;0.048709;-0.031959;-0.086720;0.009463;-0.245311;-0.016931;0.011031
1590;-0.023238;0.008343;-0.217002;-0.059413;-0.070251;-0.042984;0.297294;0.087135;-0.137460;-0.153603
1600;-0.033218;0.055965;0.049453;0.247858;0.024479;0.085652;0.014994;0.046507;0.029537;-0.168193
1610;-0.014811;-0.055635;-0.028503;0.009898;-0.130564;-0.080953;0.033939;0.126061;0.213476;0.090913
1620;0.133644;-0.133895;-0.020426;0.065667;0.075361;-0.086080;-0.002367;-0.029957;0.115027;0.022835
1630;-0.012399;-0.021072;-0.008802;-0.243881;0.119135;0.034330;-0.063131;0.011424;0.024424;-0.087005
1640;-0.135194;0.001590;0.011978;-0.072866;-0.177167;-0.096793;-0.063461;-0.088699;-0.087849;-0.179577
1650;-0.016799;-0.029044;0.135956;-0.129018;0.019733;0.155171;0.146641;0.205423;-0.055542;0.042510
1660;-0.039964;-0.071122;-0.062887;0.145323;0.145251;-0.120766;-0.037088;-0.051655;0.032289;-0.059060
1670;-0.045191;-0.004371;0.122043;-0.056652;0.021309;-0.029196;0.123436;-0.042963;0.193414;0.055879
1680;-0.274767;0.038569;-0.167849;0.070097;-0.157458;-0.001184;0.019331;0.097456;-0.143743;-0.039382
1690;-0.040752;0.052886;0.024588;-0.077992;0.059620;0.009469;-0.044551;0.077314;-0.029548;-0.031496
1700;-0.004798;0.019484;-0.071318;-0.001583;-0.052115;0.002761;-0.000000;-0.125710;-0.016155;0.015352
1710;-0.008796;0.114869;-0.070921;0.152774;0.020531;-0.101774;0.055611;0.036655;-0.065432;0.021255
1720;0.155925;0.330284;-0.166692;-0.086702;-0.001974;0.184246;-0.007887;-0.150181;-0.087899;0.004328
1730;0.021984;-0.102569;0.012679;0.329192;0.006711;-0.068659;0.023664;-0.038649;0.159988;-0.057811
1740;-0.019177;0.118828;0.006732;-0.224400;-0.082933;0.053257;0.053274;-0.078837;0.061121;0.099497
1750;0.009998;0.150502;-0.000396;0.259401;-0.038288;0.112017;-0.101742;0.124201;-0.042571;0.011796
1760;-0.095546;-0.058964;-0.095428;-0.132977;0.172053;0.020910;-0.008273;0.005911;-0.048059;-0.001967
1770;-0.056802;0.042636;0.093423;-0.025325;-0.017763;0.016578;0.139613;0.088325;0.061100;-0.005903
1780;0.050356;0.087276;-0.142175;0.075099;-0.100658;-0.117899;0.044567;-0.062258;-0.001972;-0.070368
1790;-0.031607;0.102100;0.089499;-0.066830;0.006711;0.121894;-0.020887;0.237982;0.057541;0.066089
1800;-0.068377;0.069828;0.170799;-0.164453;0.090379;0.095866;-0.048078;0.057968;-0.097742;0.113598
1810;0.148336;0.026740;0.022966;0.021355;0.073513;-0.022897;-0.127595;-0.046540;-0.021276;0.009043
1820;-0.049983;0.009979;-0.145792;0.063265;0.091609;0.025644;0.152952;0.035491;-0.035884;0.105296
1830;-0.123952;0.085788;-0.119602;-0.073489;-0.009081;-0.008286;-0.272924;0.033128;0.029543;-0.200871
1840;0.009205;0.131294;0.007529;0.077884;0.071073;0.032332;-0.096630;0.087227;-0.051240;0.063301
1850;-0.112729;0.083806;0.001586;0.014237;0.011058;-0.084774;-0.183083;-0.091917;0.146162;0.064100
1860;0.000800;-0.143045;0.037299;0.134188;-0.011047;-0.071418;-0.066155;-0.072568;-0.041337;-0.051874
1870;0.034790;0.026703;0.090535;-0.222046;-0.044633;0.095920;-0.064609;-0.256100;0.155621;-0.176198
1880;0.263578;0.163972;0.151756;0.024514;0.173235;-0.029589;-0.099276;0.026050;0.150833;0.018894
